,id,title,type,age_certification,runtime,release_year,seasons,imdb_score,imdb_votes
8405,tm34267,Ong Bak 2,MOVIE,R,98,2008,0.0,6.2,30615.0
8414,ts16814,.hack,SHOW,TV-14,24,2002,3.0,6.8,1301.0
8424,ts25656,The Marvelous Misadventures of Flapjack,SHOW,TV-Y7,17,2008,3.0,7.8,13688.0
8445,tm135780,Planet 51,MOVIE,PG,91,2009,0.0,6.0,54690.0
8465,ts20308,Full Metal Panic!,SHOW,TV-14,24,2002,4.0,7.6,5476.0
8500,tm137484,Astro Boy,MOVIE,PG,94,2009,0.0,6.3,36400.0
8534,tm103212,Rare Exports: A Christmas Tale,MOVIE,R,83,2010,0.0,6.6,28802.0
8550,tm103868,Trapped,MOVIE,R,106,2002,0.0,6.1,23937.0
8637,tm161623,Guess Who,MOVIE,PG-13,105,2005,0.0,5.9,42540.0
8645,ts20544,Ouran High School Host Club,SHOW,TV-14,23,2006,1.0,8.2,9763.0
8687,ts59417,Desert Punk,SHOW,TV-MA,24,2004,1.0,7.2,1329.0
8717,ts30288,Mobile Suit Gundam Unicorn,SHOW,TV-14,35,2010,2.0,7.8,1291.0
8760,tm114476,Stuart Little 2,MOVIE,G,78,2002,0.0,5.5,53746.0
8777,ts29076,REBORN!,SHOW,TV-14,23,2006,9.0,7.7,1478.0
8789,ts43942,Samurai 7,SHOW,TV-PG,27,2004,1.0,7.6,4086.0
8795,ts959,Basilisk,SHOW,TV-MA,24,2005,2.0,7.8,3955.0
8816,tm103707,Main Street,MOVIE,PG,92,2010,0.0,4.7,2851.0
8881,tm76868,Fred Claus,MOVIE,PG,111,2007,0.0,5.6,43723.0
8940,tm138525,Intermission,MOVIE,R,105,2003,0.0,6.8,15809.0
8945,ts29475,xxxHOLiC,SHOW,TV-PG,25,2006,2.0,7.6,1844.0
8971,tm138484,Armored,MOVIE,PG-13,88,2009,0.0,5.7,30713.0
8985,ts9527,Eden of the East,SHOW,TV-MA,22,2009,1.0,7.5,3703.0
8995,ts17714,Devil May Cry,SHOW,TV-14,24,2007,1.0,7.0,5088.0
9035,tm174369,Factotum,MOVIE,R,94,2005,0.0,6.6,14457.0
9042,tm102396,Trigun: Badlands Rumble,MOVIE,PG-13,90,2010,0.0,7.4,5317.0
9065,ts29465,Witchblade,SHOW,TV-MA,24,2006,1.0,7.0,1434.0
9142,tm105030,Ong Bak 3,MOVIE,R,95,2010,0.0,4.9,13800.0
9166,tm145906,Afro Samurai: Resurrection,MOVIE,,101,2009,0.0,7.1,8835.0
9219,tm118330,The Banger Sisters,MOVIE,R,98,2002,0.0,5.6,16620.0
9259,tm43286,Manic,MOVIE,R,100,2001,0.0,6.2,5.0
9341,ts26043,ItaKiss,SHOW,TV-14,25,2008,1.0,7.3,1584.0
9403,ts22452,Baka and Test: Summon the Beasts,SHOW,TV-14,25,2010,2.0,7.2,1324.0
9512,ts27220,Gun x Sword,SHOW,TV-14,24,2005,1.0,7.2,540.0
9534,ts7222,Dragonaut: The Resonance,SHOW,TV-14,25,2007,1.0,6.1,116.0
9594,ts29087,The Wallflower,SHOW,TV-14,23,2006,1.0,7.3,1053.0
9603,tm146462,Curious George: A Very Monkey Christmas,MOVIE,G,58,2009,0.0,6.3,527.0
9609,ts453,Black Blood Brothers,SHOW,TV-MA,24,2006,1.0,6.9,1209.0
9627,ts27189,Junjou Romantica,SHOW,TV-MA,26,2008,3.0,7.7,1649.0
9670,tm29785,Freedomland,MOVIE,R,113,2006,0.0,5.1,16278.0
9717,tm109588,Space Station 3D,MOVIE,,47,2002,0.0,7.4,1681.0
9747,tm68041,The Perfect Holiday,MOVIE,PG,96,2007,0.0,4.6,3114.0
9756,tm89528,The Seat Filler,MOVIE,PG-13,90,2004,0.0,5.3,749.0
9822,ts56437,Full Metal Panic? Fumoffu,SHOW,TV-14,24,2003,2.0,7.7,5431.0
9919,ts12668,Aurora,SHOW,,42,2010,2.0,7.1,201.0
9936,tm78730,Ben 10: Secret of the Omnitrix,MOVIE,PG,71,2007,0.0,7.2,2655.0
9976,tm174183,American Gun,MOVIE,R,95,2005,0.0,6.1,3117.0
