,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
2396,ts224859,1.0,0.0,0.0,The Pharmacist,SHOW,TV-MA,54,Julia Willoughby Nason,DIRECTOR,2020,1.0,7.7,7261.0
2399,ts269690,1.0,0.0,0.0,Schulz Saves America,SHOW,TV-MA,17,AlexxMedia,DIRECTOR,2020,1.0,7.3,1086.0
2402,ts223240,1.0,0.0,0.0,Itaewon Class,SHOW,TV-MA,70,Kim Seong-yoon,DIRECTOR,2020,1.0,8.2,12780.0
2414,ts225101,1.0,0.0,0.0,Start-Up,SHOW,TV-14,80,Oh Choong-hwan,DIRECTOR,2020,1.0,8.1,9697.0
2416,ts223404,1.0,0.0,0.0,It's Okay to Not Be Okay,SHOW,TV-MA,76,Park Shin-woo,DIRECTOR,2020,1.0,8.6,22346.0
2417,ts89075,1.0,0.0,0.0,Her Private Life,SHOW,TV-14,75,Hong Jong-chan,DIRECTOR,2019,2.0,7.7,3826.0
2419,ts236747,1.0,0.0,0.0,Middleditch & Schwartz,SHOW,TV-MA,51,Ryan Polito,DIRECTOR,2020,1.0,8.6,5310.0
2425,ts87364,1.0,0.0,0.0,Conversations with a Killer: The Ted Bundy Tapes,SHOW,TV-MA,59,Joe Berlinger,DIRECTOR,2019,1.0,7.8,27439.0
2432,ts268560,1.0,0.0,0.0,The Uncanny Counter,SHOW,TV-14,64,You Sun-dong,DIRECTOR,2020,1.0,8.1,6033.0
2440,ts236091,1.0,0.0,0.0,Oh My Baby,SHOW,TV-14,68,Nam Ki-hoon,DIRECTOR,2020,1.0,7.2,213.0
2443,ts81646,1.0,0.0,0.0,Chambers,SHOW,TV-MA,44,Francesca Gregorini,DIRECTOR,2019,1.0,6.4,8455.0
2444,ts81646,1.0,0.0,0.0,Chambers,SHOW,TV-MA,44,Sydney Freeland,DIRECTOR,2019,1.0,6.4,8455.0
2445,ts81646,1.0,0.0,0.0,Chambers,SHOW,TV-MA,44,Geeta Patel,DIRECTOR,2019,1.0,6.4,8455.0
2446,ts81646,1.0,0.0,0.0,Chambers,SHOW,TV-MA,44,Tony Goldwyn,DIRECTOR,2019,1.0,6.4,8455.0
2447,ts81646,1.0,0.0,0.0,Chambers,SHOW,TV-MA,44,Lucy Tcherniak,DIRECTOR,2019,1.0,6.4,8455.0
2449,ts108392,1.0,0.0,0.0,The Letter for the King,SHOW,TV-PG,47,Felix Thompson,DIRECTOR,2020,1.0,5.9,7468.0
2450,ts108392,1.0,0.0,0.0,The Letter for the King,SHOW,TV-PG,47,Charles Martin,DIRECTOR,2020,1.0,5.9,7468.0
2451,ts108392,1.0,0.0,0.0,The Letter for the King,SHOW,TV-PG,47,Alex Holmes,DIRECTOR,2020,1.0,5.9,7468.0
2456,ts84586,1.0,0.0,0.0,Spinning Out,SHOW,TV-MA,49,Jon Amiel,DIRECTOR,2020,1.0,7.6,14066.0
2457,ts84586,1.0,0.0,0.0,Spinning Out,SHOW,TV-MA,49,Matthew Hastings,DIRECTOR,2020,1.0,7.6,14066.0
2458,ts84586,1.0,0.0,0.0,Spinning Out,SHOW,TV-MA,49,Norma Bailey,DIRECTOR,2020,1.0,7.6,14066.0
2462,ts86726,1.0,0.0,0.0,Tidying Up with Marie Kondo,SHOW,TV-PG,40,Jade Sandberg Wallis,DIRECTOR,2019,1.0,6.6,3568.0
2471,ts271247,1.0,0.0,0.0,LEGO City Adventures,SHOW,TV-Y7,13,Dana Dorian,DIRECTOR,2019,4.0,6.7,194.0
2472,ts271247,1.0,0.0,0.0,LEGO City Adventures,SHOW,TV-Y7,13,Yoo Seon Ju,DIRECTOR,2019,4.0,6.7,194.0
2477,ts321758,1.0,0.0,0.0,Vagabond,SHOW,TV-MA,63,Yoo In-sik,DIRECTOR,2019,1.0,8.2,7982.0
2483,ts256309,1.0,0.0,0.0,Aunty Donna's Big Ol House of Fun,SHOW,TV-MA,20,Max Miller,DIRECTOR,2020,1.0,7.9,6318.0
2484,ts219080,1.0,0.0,0.0,Caliphate,SHOW,TV-MA,48,Goran Kapetanović,DIRECTOR,2020,1.0,8.2,18134.0
