,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
6623,tm43813,0.0,0.0,1.0,George Carlin: You Are All Diseased,MOVIE,,65,Rocco Urbisci,DIRECTOR,1999,0.0,8.5,4230.0
6624,tm118001,0.0,0.0,1.0,Hoop Dreams,MOVIE,PG-13,174,Steve James,DIRECTOR,1994,0.0,8.3,26157.0
6625,tm105539,0.0,0.0,1.0,Secrets & Lies,MOVIE,R,142,Mike Leigh,DIRECTOR,1996,0.0,8.0,42614.0
6626,tm9301,0.0,0.0,1.0,Sleeping with the Enemy,MOVIE,R,99,Joseph Ruben,DIRECTOR,1991,0.0,6.2,56517.0
6627,tm10921,0.0,0.0,1.0,Rob Roy,MOVIE,R,139,Michael Caton-Jones,DIRECTOR,1995,0.0,6.9,42709.0
6628,tm24462,0.0,0.0,1.0,What Women Want,MOVIE,PG-13,127,Nancy Meyers,DIRECTOR,2000,0.0,6.4,205285.0
6629,tm40390,0.0,0.0,1.0,Lost in Space,MOVIE,PG-13,130,Stephen Hopkins,DIRECTOR,1998,0.0,5.2,72179.0
6630,tm15476,0.0,0.0,1.0,It Takes Two,MOVIE,PG,101,Andy Tennant,DIRECTOR,1995,0.0,5.8,22464.0
6631,tm22886,0.0,0.0,1.0,Wonder Boys,MOVIE,R,111,Curtis Hanson,DIRECTOR,2000,0.0,7.2,64043.0
6632,tm117953,0.0,0.0,1.0,Three Colors: Red,MOVIE,R,100,Krzysztof Kieślowski,DIRECTOR,1994,0.0,8.1,101416.0
6633,tm122453,0.0,0.0,1.0,Mary Shelley's Frankenstein,MOVIE,R,123,Kenneth Branagh,DIRECTOR,1994,0.0,6.3,54842.0
6634,tm116033,0.0,0.0,1.0,The Return of the Texas Chainsaw Massacre,MOVIE,R,95,Kim Henkel,DIRECTOR,1995,0.0,3.3,22845.0
6635,tm63814,0.0,0.0,1.0,Superstar,MOVIE,PG-13,81,Bruce McCulloch,DIRECTOR,1999,0.0,5.1,19060.0
6636,tm128586,0.0,0.0,1.0,Porco Rosso,MOVIE,PG,94,Hayao Miyazaki,DIRECTOR,1992,0.0,7.7,87051.0
6637,tm110529,0.0,0.0,1.0,Breaking the Waves,MOVIE,R,159,Lars von Trier,DIRECTOR,1996,0.0,7.8,66155.0
6638,tm354,0.0,0.0,1.0,3 Ninjas Knuckle Up,MOVIE,PG-13,85,Shin Sang-ok,DIRECTOR,1993,0.0,4.2,5842.0
6639,tm9369,0.0,0.0,1.0,Mortal Kombat,MOVIE,PG-13,101,Paul W. S. Anderson,DIRECTOR,1995,0.0,5.8,116960.0
6640,tm46522,0.0,0.0,1.0,Gia,MOVIE,R,120,Michael Cristofer,DIRECTOR,1998,0.0,6.9,44829.0
6641,tm191271,0.0,0.0,1.0,Private Parts,MOVIE,R,109,Betty Thomas,DIRECTOR,1997,0.0,6.9,37089.0
6642,tm128357,0.0,0.0,1.0,Chaplin,MOVIE,PG-13,143,Richard Attenborough,DIRECTOR,1992,0.0,7.5,57237.0
6643,tm105027,0.0,0.0,1.0,Irma Vep,MOVIE,,99,Olivier Assayas,DIRECTOR,1996,0.0,7.0,6792.0
6644,tm60386,0.0,0.0,1.0,Doctor Dolittle,MOVIE,PG-13,85,Betty Thomas,DIRECTOR,1998,0.0,5.4,96451.0
6645,tm64916,0.0,0.0,1.0,The Rugrats Movie,MOVIE,G,79,Norton Virgien,DIRECTOR,1998,0.0,5.9,19303.0
6646,tm64916,0.0,0.0,1.0,The Rugrats Movie,MOVIE,G,79,Igor Kovalyov,DIRECTOR,1998,0.0,5.9,19303.0
6647,tm127779,0.0,0.0,1.0,Like Water for Chocolate,MOVIE,R,105,Alfonso Aráu,DIRECTOR,1992,0.0,7.1,17797.0
6648,tm117383,0.0,0.0,1.0,New Nightmare,MOVIE,R,112,Wes Craven,DIRECTOR,1994,0.0,6.4,57329.0
6649,tm56731,0.0,0.0,1.0,Les Misérables,MOVIE,PG-13,134,Bille August,DIRECTOR,1998,0.0,7.4,40858.0
6650,tm8194,0.0,0.0,1.0,Night on Earth,MOVIE,R,128,Jim Jarmusch,DIRECTOR,1991,0.0,7.7,59742.0
6651,tm52751,0.0,0.0,1.0,Wild Wild West,MOVIE,PG-13,106,Barry Sonnenfeld,DIRECTOR,1999,0.0,4.9,159890.0
6652,tm18331,0.0,0.0,1.0,Space Cowboys,MOVIE,PG-13,124,Clint Eastwood,DIRECTOR,2000,0.0,6.5,80344.0
6653,tm189379,0.0,0.0,1.0,Jason Goes to Hell: The Final Friday,MOVIE,R,91,Adam Marcus,DIRECTOR,1993,0.0,4.1,31951.0
6654,tm15131,0.0,0.0,1.0,The Bridges of Madison County,MOVIE,PG-13,135,Clint Eastwood,DIRECTOR,1995,0.0,7.6,79902.0
6655,tm118926,0.0,0.0,1.0,Three Colors: White,MOVIE,R,91,Krzysztof Kieślowski,DIRECTOR,1994,0.0,7.6,72100.0
6656,tm53038,0.0,0.0,1.0,A Perfect Murder,MOVIE,R,107,Andrew Davis,DIRECTOR,1998,0.0,6.5,83965.0
6657,tm15124,0.0,0.0,1.0,Bushwhacked,MOVIE,PG,90,Greg Beeman,DIRECTOR,1995,0.0,5.6,6164.0
6658,tm18138,0.0,0.0,1.0,Rugrats in Paris: The Movie,MOVIE,G,78,Paul Demeyer,DIRECTOR,2000,0.0,6.1,12486.0
6659,tm18138,0.0,0.0,1.0,Rugrats in Paris: The Movie,MOVIE,G,78,Stig Bergqvist,DIRECTOR,2000,0.0,6.1,12486.0
6660,tm13620,0.0,0.0,1.0,Whisper of the Heart,MOVIE,G,111,Yoshifumi Kondō,DIRECTOR,1995,0.0,7.9,60618.0
6661,tm19293,0.0,0.0,1.0,Book of Shadows: Blair Witch 2,MOVIE,R,90,Joe Berlinger,DIRECTOR,2000,0.0,4.0,37708.0
6662,tm190486,0.0,0.0,1.0,Teenage Mutant Ninja Turtles III,MOVIE,PG,96,Stuart Gillard,DIRECTOR,1993,0.0,4.7,33128.0
6663,tm190323,0.0,0.0,1.0,Taste of Cherry,MOVIE,,99,Abbas Kiarostami,DIRECTOR,1997,0.0,7.7,29925.0
6664,tm192649,0.0,0.0,1.0,Speed 2: Cruise Control,MOVIE,PG-13,121,Jan de Bont,DIRECTOR,1997,0.0,3.9,80405.0
6665,tm11388,0.0,0.0,1.0,Freddy's Dead: The Final Nightmare,MOVIE,R,89,Rachel Talalay,DIRECTOR,1991,0.0,4.7,45744.0
6666,tm108542,0.0,0.0,1.0,The Truth About Cats & Dogs,MOVIE,PG-13,93,Michael Lehmann,DIRECTOR,1996,0.0,6.3,27754.0
6667,tm60832,0.0,0.0,1.0,Disturbing Behavior,MOVIE,R,84,David Nutter,DIRECTOR,1998,0.0,5.6,22611.0
6668,tm21423,0.0,0.0,1.0,All the Pretty Horses,MOVIE,PG-13,117,Billy Bob Thornton,DIRECTOR,2000,0.0,5.8,14916.0
6669,tm62537,0.0,0.0,1.0,Muppets from Space,MOVIE,G,87,Tim Hill,DIRECTOR,1999,0.0,6.2,19343.0
6670,tm125142,0.0,0.0,1.0,School Ties,MOVIE,PG-13,106,Robert Mandel,DIRECTOR,1992,0.0,6.9,24080.0
6671,tm7818,0.0,0.0,1.0,Only Yesterday,MOVIE,PG,119,Isao Takahata,DIRECTOR,1991,0.0,7.6,30768.0
6672,tm10112,0.0,0.0,1.0,Ricochet,MOVIE,R,109,Russell Mulcahy,DIRECTOR,1991,0.0,6.1,18053.0
6678,tm184317,0.0,0.0,1.0,The Dark Half,MOVIE,R,122,George A. Romero,DIRECTOR,1993,0.0,6.0,17466.0
6679,tm128046,0.0,0.0,1.0,Benny's Video,MOVIE,,110,Michael Haneke,DIRECTOR,1993,0.0,7.2,16236.0
6680,tm116338,0.0,0.0,1.0,The River Wild,MOVIE,PG-13,111,Curtis Hanson,DIRECTOR,1994,0.0,6.4,45836.0
6681,tm124017,0.0,0.0,1.0,George Carlin: Jammin' in New York,MOVIE,,59,Rocco Urbisci,DIRECTOR,1992,0.0,8.7,3581.0
6682,tm9587,0.0,0.0,1.0,Europa,MOVIE,R,113,Lars von Trier,DIRECTOR,1991,0.0,7.6,21175.0
6683,tm27928,0.0,0.0,1.0,Next Friday,MOVIE,R,98,Steve Carr,DIRECTOR,2000,0.0,6.1,40157.0
6684,tm8676,0.0,0.0,1.0,Rush,MOVIE,R,120,Lili Fini Zanuck,DIRECTOR,1991,0.0,6.7,8822.0
6685,tm24890,0.0,0.0,1.0,Dave Chappelle: Killin' Them Softly,MOVIE,,57,Stan Lathan,DIRECTOR,2000,0.0,8.8,9877.0
6686,tm8900,0.0,0.0,1.0,Waiting to Exhale,MOVIE,R,127,Forest Whitaker,DIRECTOR,1995,0.0,5.9,10828.0
6687,tm54842,0.0,0.0,1.0,Larry David: Curb Your Enthusiasm,MOVIE,,59,Robert B. Weide,DIRECTOR,1999,0.0,8.4,4995.0
6688,tm108434,0.0,0.0,1.0,A Very Brady Sequel,MOVIE,PG-13,90,Arlene Sanford,DIRECTOR,1996,0.0,5.8,10867.0
6689,tm44678,0.0,0.0,1.0,Buena Vista Social Club,MOVIE,G,105,Wim Wenders,DIRECTOR,1999,0.0,7.6,19178.0
6690,tm112500,0.0,0.0,1.0,City Slickers II: The Legend of Curly's Gold,MOVIE,PG-13,116,Paul Weiland,DIRECTOR,1994,0.0,5.5,19557.0
6691,tm62740,0.0,0.0,1.0,3 Ninjas: High Noon at Mega Mountain,MOVIE,PG,93,Sean McNamara,DIRECTOR,1998,0.0,2.9,12761.0
6692,tm184648,0.0,0.0,1.0,And the Band Played On,MOVIE,PG-13,140,Roger Spottiswoode,DIRECTOR,1993,0.0,7.8,10168.0
6693,tm127769,0.0,0.0,1.0,Radio Flyer,MOVIE,PG-13,114,Richard Donner,DIRECTOR,1992,0.0,6.9,13381.0
6694,tm22946,0.0,0.0,1.0,The Ladies Man,MOVIE,R,84,Reginald Hudlin,DIRECTOR,2000,0.0,5.1,13181.0
6695,tm14532,0.0,0.0,1.0,Citizen X,MOVIE,R,105,Chris Gerolmo,DIRECTOR,1995,0.0,7.5,19690.0
6696,tm185650,0.0,0.0,1.0,Six Degrees of Separation,MOVIE,R,112,Fred Schepisi,DIRECTOR,1993,0.0,6.8,21080.0
6697,tm192925,0.0,0.0,1.0,The Peacemaker,MOVIE,R,124,Mimi Leder,DIRECTOR,1997,0.0,6.0,58060.0
6698,tm18375,0.0,0.0,1.0,Romeo Must Die,MOVIE,R,115,Andrzej Bartkowiak,DIRECTOR,2000,0.0,6.1,70029.0
6699,tm120341,0.0,0.0,1.0,Pom Poko,MOVIE,PG,119,Isao Takahata,DIRECTOR,1994,0.0,7.3,29216.0
6700,tm113831,0.0,0.0,1.0,The Daytrippers,MOVIE,R,87,Greg Mottola,DIRECTOR,1997,0.0,7.0,5617.0
6701,tm114158,0.0,0.0,1.0,Gray's Anatomy,MOVIE,,80,Steven Soderbergh,DIRECTOR,1996,0.0,6.7,2352.0
6702,tm122409,0.0,0.0,1.0,Lethal Weapon 3,MOVIE,R,118,Richard Donner,DIRECTOR,1992,0.0,6.7,166220.0
6703,tm21085,0.0,0.0,1.0,Supernova,MOVIE,R,90,Jack Sholder,DIRECTOR,2000,0.0,4.8,17949.0
6704,tm21085,0.0,0.0,1.0,Supernova,MOVIE,R,90,Walter Hill,DIRECTOR,2000,0.0,4.8,17949.0
6705,tm45935,0.0,0.0,1.0,Mickey Blue Eyes,MOVIE,PG-13,102,Kelly Makin,DIRECTOR,1999,0.0,5.9,36504.0
6706,tm125675,0.0,0.0,1.0,Mom and Dad Save the World,MOVIE,PG,88,Greg Beeman,DIRECTOR,1992,0.0,5.3,4722.0
6707,tm56110,0.0,0.0,1.0,Lethal Weapon 4,MOVIE,R,127,Richard Donner,DIRECTOR,1998,0.0,6.6,161404.0
6708,tm44032,0.0,0.0,1.0,The Adventures of Elmo in Grouchland,MOVIE,G,73,Gary Halvorson,DIRECTOR,1999,0.0,5.7,3370.0
6709,tm190562,0.0,0.0,1.0,Steel,MOVIE,PG-13,97,Kenneth Johnson,DIRECTOR,1997,0.0,3.0,13858.0
6710,tm43342,0.0,0.0,1.0,Chris Rock: Bigger & Blacker,MOVIE,R,65,Keith Truesdell,DIRECTOR,1999,0.0,8.0,7072.0
6711,tm9142,0.0,0.0,1.0,Harley Davidson and the Marlboro Man,MOVIE,R,98,Simon Wincer,DIRECTOR,1991,0.0,6.1,20145.0
6712,tm54397,0.0,0.0,1.0,The Pentagon Wars,MOVIE,R,104,Richard Benjamin,DIRECTOR,1998,0.0,7.2,4268.0
6713,tm17536,0.0,0.0,1.0,Free Willy 2: The Adventure Home,MOVIE,PG,95,Dwight H. Little,DIRECTOR,1995,0.0,5.0,18340.0
6714,tm192727,0.0,0.0,1.0,Mortal Kombat: Annihilation,MOVIE,PG-13,95,John R. Leonetti,DIRECTOR,1997,0.0,3.6,54225.0
6715,tm192203,0.0,0.0,1.0,Soul Food,MOVIE,R,114,"George Tillman, Jr.",DIRECTOR,1997,0.0,7.0,8071.0
6716,tm57667,0.0,0.0,1.0,Paulie,MOVIE,PG,91,John Roberts,DIRECTOR,1998,0.0,6.5,15223.0
6717,tm17954,0.0,0.0,1.0,Rules of Engagement,MOVIE,R,128,William Friedkin,DIRECTOR,2000,0.0,6.4,47383.0
6718,tm189061,0.0,0.0,1.0,Ocean Waves,MOVIE,PG,72,Tomomi Mochizuki,DIRECTOR,1993,0.0,6.6,16514.0
6719,tm188584,0.0,0.0,1.0,The War Room,MOVIE,PG,96,D. A. Pennebaker,DIRECTOR,1993,0.0,7.4,4194.0
6720,tm188584,0.0,0.0,1.0,The War Room,MOVIE,PG,96,Chris Hegedus,DIRECTOR,1993,0.0,7.4,4194.0
6721,tm192608,0.0,0.0,1.0,Gang Related,MOVIE,R,102,Jim Kouf,DIRECTOR,1997,0.0,6.4,8967.0
6722,tm107842,0.0,0.0,1.0,The Late Shift,MOVIE,R,95,Betty Thomas,DIRECTOR,1996,0.0,6.8,3436.0
