,id,title,type,age_certification,runtime,release_year,seasons,imdb_score
7100,tm141390,Friday the 13th,MOVIE,R,97,2009,0.0,5.5
7151,tm94606,Let Me In,MOVIE,R,116,2010,0.0,7.1
7166,ts15986,Dead Set,SHOW,TV-MA,141,2008,1.0,7.6
7200,tm102337,A Nightmare on Elm Street,MOVIE,R,95,2010,0.0,5.2
7267,tm159901,Miss Congeniality 2: Armed and Fabulous,MOVIE,PG-13,115,2005,0.0,5.1
7291,tm74780,The Bucket List,MOVIE,PG-13,97,2007,0.0,7.4
7296,ts30356,Octonauts,SHOW,TV-Y,15,2010,7.0,7.6
7438,tm24088,Scary Movie 4,MOVIE,PG-13,83,2006,0.0,5.1
7477,tm111600,The Sweetest Thing,MOVIE,R,84,2002,0.0,5.1
7585,tm88045,How Do You Know,MOVIE,PG-13,121,2010,0.0,5.4
7635,tm78919,Mr. Bean's Holiday,MOVIE,G,90,2007,0.0,6.4
7681,tm173066,The Interpreter,MOVIE,PG-13,128,2005,0.0,6.4
7743,tm118637,John Q,MOVIE,PG-13,116,2002,0.0,7.0
7767,tm142564,3 Idiots,MOVIE,PG-13,170,2009,0.0,8.4
7768,tm57190,The One,MOVIE,PG-13,87,2001,0.0,5.9
7790,tm137362,The Texas Chainsaw Massacre,MOVIE,R,98,2003,0.0,6.2
7819,tm148379,The Cat in the Hat,MOVIE,PG,82,2003,0.0,4.0
7851,tm137342,Tears of the Sun,MOVIE,R,121,2003,0.0,6.6
7883,tm90864,Due Date,MOVIE,R,95,2010,0.0,6.5
7921,tm32144,We Are Marshall,MOVIE,PG,131,2006,0.0,7.0
7946,tm141707,Blood and Bone,MOVIE,R,93,2009,0.0,6.7
7991,tm150214,Freddy vs. Jason,MOVIE,R,97,2003,0.0,5.7
8048,tm81030,The Golden Compass,MOVIE,PG-13,113,2007,0.0,6.1
8092,tm147211,The Men Who Stare at Goats,MOVIE,R,94,2009,0.0,6.2
8150,tm78671,Cleaner,MOVIE,R,88,2007,0.0,6.1
8187,tm27268,Monster House,MOVIE,PG,91,2006,0.0,6.6
8220,tm86189,Good Luck Chuck,MOVIE,,101,2007,0.0,5.6
8263,tm700,"10,000 BC",MOVIE,PG-13,109,2008,0.0,5.1
8288,tm101249,Cop Out,MOVIE,R,107,2010,0.0,5.5
8304,tm161263,The Cave,MOVIE,PG-13,97,2005,0.0,5.1
8389,tm81270,Starsky & Hutch,MOVIE,PG-13,101,2004,0.0,6.1
8426,tm89684,New York Minute,MOVIE,PG,87,2004,0.0,4.9
8479,tm165593,Rumor Has It...,MOVIE,PG-13,97,2005,0.0,5.5
8538,tm112381,Comedian,MOVIE,R,82,2002,0.0,6.9
8567,tm39487,Catch and Release,MOVIE,PG-13,111,2006,0.0,5.9
8605,tm43399,Lagaan: Once Upon a Time in India,MOVIE,PG,224,2001,0.0,8.1
8674,tm29555,Friends with Money,MOVIE,R,88,2006,0.0,5.8
8693,tm103095,Ip Man 2,MOVIE,R,108,2010,0.0,7.5
8716,tm97070,Life As We Know It,MOVIE,PG-13,114,2010,0.0,6.5
8736,tm101334,Death at a Funeral,MOVIE,R,92,2010,0.0,5.7
8757,tm183963,Dreamer: Inspired By a True Story,MOVIE,PG,106,2005,0.0,6.8
8812,tm77649,Premonition,MOVIE,PG-13,96,2007,0.0,5.9
8851,tm86924,Soul Plane,MOVIE,R,86,2004,0.0,4.5
8870,tm26638,The Texas Chainsaw Massacre: The Beginning,MOVIE,R,91,2006,0.0,5.8
8894,ts20544,Ouran High School Host Club,SHOW,TV-14,23,2006,1.0,8.2
8898,tm104880,Louis C.K.: Hilarious,MOVIE,,84,2010,0.0,8.4
8923,ts30288,Mobile Suit Gundam Unicorn,SHOW,TV-14,36,2010,2.0,7.8
8930,ts38159,Wakfu,SHOW,TV-Y7,22,2008,3.0,8.1
8975,tm22294,Deck the Halls,MOVIE,PG,93,2006,0.0,5.0
9000,tm100015,Takers,MOVIE,PG-13,107,2010,0.0,6.2
9039,ts21688,Boys Over Flowers,SHOW,TV-14,64,2009,1.0,7.9
9053,tm83786,Like Stars on Earth,MOVIE,PG,165,2007,0.0,8.3
9076,tm130574,Did You Hear About the Morgans?,MOVIE,PG-13,103,2009,0.0,4.9
9092,tm114476,Stuart Little 2,MOVIE,G,78,2002,0.0,5.5
9135,tm118462,Half Past Dead,MOVIE,PG-13,98,2002,0.0,4.6
9142,ts12701,Code Lyoko,SHOW,TV-G,24,2003,5.0,7.3
9191,tm86995,Christmas with the Kranks,MOVIE,PG,99,2004,0.0,5.4
9225,tm97544,Alpha and Omega,MOVIE,PG,88,2010,0.0,5.1
9247,ts27459,The Legend of Bruce Lee,SHOW,,45,2008,1.0,7.0
9267,ts3666,Den-noh Coil,SHOW,TV-Y7,25,2007,1.0,7.8
9303,tm164557,Initial D,MOVIE,,107,2005,0.0,6.3
9323,tm80059,Naruto Shippuden the Movie,MOVIE,PG-13,94,2007,0.0,6.7
9404,tm135451,Gifted Hands: The Ben Carson Story,MOVIE,,86,2009,0.0,7.6
9412,tm71558,The Legend of the Nahuala,MOVIE,PG,80,2007,0.0,6.1
9423,tm134235,One Piece: Strong World,MOVIE,PG-13,114,2009,0.0,7.5
9456,tm160800,Chaos,MOVIE,R,106,2005,0.0,6.4
9478,tm22342,Waist Deep,MOVIE,R,97,2006,0.0,5.8
9498,tm22636,Trailer Park Boys: The Movie,MOVIE,R,95,2006,0.0,7.1
9509,tm85549,Tito,MOVIE,,120,2004,0.0,7.2
9537,tm100688,Even the Rain,MOVIE,,104,2010,0.0,7.4
9542,tm22493,Katt Williams: The Pimp Chronicles Pt. 1,MOVIE,,46,2006,0.0,7.6
9550,tm103732,Udaan,MOVIE,R,138,2010,0.0,8.1
9617,tm73058,Om Shanti Om,MOVIE,PG,162,2007,0.0,6.7
9629,tm138497,Trailer Park Boys: Countdown to Liquor Day,MOVIE,R,102,2009,0.0,7.3
9667,tm36475,Kabhi Khushi Kabhie Gham,MOVIE,G,210,2001,0.0,7.4
9694,tm144345,Kal Ho Naa Ho,MOVIE,PG,186,2003,0.0,7.9
9706,tm76835,Jab We Met,MOVIE,PG-13,144,2007,0.0,7.9
9734,tm38896,From Within,MOVIE,R,89,2008,0.0,5.6
9761,tm86051,Black Friday,MOVIE,R,161,2004,0.0,8.4
9781,tm29269,Jodhaa Akbar,MOVIE,PG-13,214,2008,0.0,7.5
9798,tm91046,"Cairo 6,7,8",MOVIE,,100,2010,0.0,7.4
9802,tm75022,Zach Galifianakis: Live at the Purple Onion,MOVIE,,61,2007,0.0,7.2
9822,tm41508,First Sunday,MOVIE,PG-13,96,2008,0.0,4.5
9848,tm49405,Inuyasha the Movie: Affections Touching Across Time,MOVIE,PG-13,99,2001,0.0,7.2
9867,tm82765,Swades,MOVIE,G,189,2004,0.0,8.1
9906,tm33981,Bon Cop Bad Cop,MOVIE,PG-13,116,2006,0.0,6.5
9910,ts52849,Horrid Henry,SHOW,,13,2006,5.0,6.3
9933,tm95238,The Boy Who Cried Werewolf,MOVIE,G,97,2010,0.0,5.9
9952,tm32885,Rang De Basanti,MOVIE,PG-13,157,2006,0.0,8.1
10006,tm72587,Guru,MOVIE,PG-13,166,2007,0.0,7.7
10008,tm99776,Whitney Cummings: Money Shot,MOVIE,,48,2010,0.0,6.2
10023,tm83175,Welcome,MOVIE,,160,2007,0.0,7.0
10025,tm139349,Jim Gaffigan: King Baby,MOVIE,,72,2009,0.0,7.7
10027,tm59880,Mike Birbiglia: What I Should Have Said Was Nothing,MOVIE,,60,2008,0.0,7.6
10041,tm61056,Dil Chahta Hai,MOVIE,G,184,2001,0.0,8.1
10063,tm129763,Anbe Sivam,MOVIE,,160,2003,0.0,8.7
10088,tm44378,Tony Manero,MOVIE,,97,2008,0.0,6.8
10094,tm25842,A Lion in the House,MOVIE,,225,2006,0.0,8.7
10126,tm34846,Bleach the Movie: Fade to Black,MOVIE,PG-13,94,2008,0.0,7.1
10165,tm71119,Delta Farce,MOVIE,PG-13,90,2007,0.0,3.6
10189,tm170873,My Suicide,MOVIE,R,110,2009,0.0,7.0
10205,tm22540,Phir Hera Pheri,MOVIE,,155,2006,0.0,7.1
10221,tm96037,Naruto Shippuden the Movie: The Lost Tower,MOVIE,PG-13,85,2010,0.0,6.8
10236,tm110923,Divine Intervention,MOVIE,,92,2002,0.0,6.6
10264,tm168869,Da Kath & Kim Code,MOVIE,,90,2005,0.0,7.3
10268,tm147686,Kevin Hart: I'm a Grown Little Man,MOVIE,R,73,2009,0.0,7.5
10292,tm93612,Bleach the Movie: Hell Verse,MOVIE,PG-13,94,2010,0.0,7.4
10314,tm36164,Naruto Shippuden the Movie: Bonds,MOVIE,PG-13,90,2008,0.0,6.8
10328,tm30170,Don,MOVIE,PG-13,167,2006,0.0,7.1
10341,tm29731,Chup Chup Ke,MOVIE,G,165,2006,0.0,6.9
10354,tm147494,Naruto Shippuden the Movie: The Will of Fire,MOVIE,PG-13,95,2009,0.0,7.0
10382,tm44530,Fashion,MOVIE,PG-13,167,2008,0.0,6.9
10412,tm89936,Arahan,MOVIE,,114,2004,0.0,6.6
10455,tm81461,Whisky,MOVIE,,99,2004,0.0,7.1
10471,tm155761,Ajab Prem Ki Ghazab Kahani,MOVIE,PG,150,2009,0.0,6.3
10490,tm48083,Te quiero,MOVIE,,85,2001,0.0,5.0
10502,tm175687,Sir! No Sir!,MOVIE,,85,2005,0.0,7.6
10512,tm33067,Race,MOVIE,PG-13,161,2008,0.0,7.0
10540,tm70222,Sivaji: The Boss,MOVIE,PG-13,189,2007,0.0,7.5
10552,tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,MOVIE,PG-13,100,2002,0.0,7.3
10554,tm352243,Interview with a Serial Killer,MOVIE,PG-13,44,2008,0.0,5.9
10570,tm82718,G.O.R.A.,MOVIE,PG-13,127,2004,0.0,8.0
10584,tm98975,Guzaarish,MOVIE,PG,126,2010,0.0,7.4
10610,tm101609,Raajneeti,MOVIE,PG,167,2010,0.0,7.1
10657,tm39557,Jaane Tu... Ya Jaane Na,MOVIE,,146,2008,0.0,7.4
10673,tm150521,Accident,MOVIE,R,89,2009,0.0,6.6
10675,tm30289,Jeff Dunham: Arguing with Myself,MOVIE,PG-13,76,2006,0.0,8.0
10689,tm141117,Chalte Chalte,MOVIE,PG-13,167,2003,0.0,6.5
10704,tm80339,Naruto: Ninja Clash in the Land of Snow,MOVIE,PG-13,90,2004,0.0,6.6
10713,tm33729,Taxi No. 9 2 11,MOVIE,,116,2006,0.0,7.2
10730,tm93004,Yuva,MOVIE,PG,161,2004,0.0,7.3
10741,tm145243,Wake Up Sid,MOVIE,,138,2009,0.0,7.6
10757,tm34524,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",MOVIE,PG-13,95,2008,0.0,7.0
10767,tm111226,Awara Paagal Deewana,MOVIE,,169,2002,0.0,6.2
